"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 05, 2021","62.22","62.16","62.44","61.92","2.77M","0.45%"
"Jul 02, 2021","61.94","63.30","63.30","61.84","6.51M","-2.88%"
"Jun 30, 2021","63.78","63.60","64.04","63.60","5.01M","0.25%"
"Jun 29, 2021","63.62","64.24","64.24","63.38","4.40M","-1.03%"
"Jun 28, 2021","64.28","64.02","64.32","63.94","1.46M","0.09%"
"Jun 25, 2021","64.22","63.22","64.42","63.22","7.87M","1.68%"
"Jun 24, 2021","63.16","62.84","63.16","62.56","3.21M","0.67%"
"Jun 23, 2021","62.74","62.54","63.12","62.32","3.88M","0.51%"
"Jun 22, 2021","62.42","62.42","62.72","62.08","3.78M","0.26%"
"Jun 21, 2021","62.26","62.40","62.82","61.88","3.87M","-0.45%"
"Jun 18, 2021","62.54","62.84","62.96","62.06","4.20M","-0.51%"
"Jun 17, 2021","62.86","62.38","63.06","62.30","3.47M","0.45%"
"Jun 16, 2021","62.58","63.76","63.86","62.58","5.93M","-1.85%"
"Jun 15, 2021","63.76","64.48","64.62","63.38","5.13M","-1.33%"
"Jun 11, 2021","64.62","65.40","65.42","64.56","3.98M","-0.80%"
"Jun 10, 2021","65.14","64.82","65.64","64.82","2.91M","0.87%"
"Jun 09, 2021","64.58","64.66","64.86","64.40","3.50M","-0.22%"
"Jun 08, 2021","64.72","65.52","65.84","64.26","3.20M","-0.71%"
"Jun 07, 2021","65.18","65.30","65.32","64.66","1.30M","0.09%"
"Jun 04, 2021","65.12","64.80","65.84","64.40","9.03M","0.52%"
"Jun 03, 2021","64.78","65.46","65.74","64.78","5.29M","-1.01%"
"Jun 02, 2021","65.44","66.16","66.22","65.12","4.66M","-1.09%"
"Jun 01, 2021","66.16","66.52","66.52","65.38","10.54M","-0.60%"
"May 31, 2021","66.56","66.16","66.88","65.60","3.51M","0.60%"
"May 28, 2021","66.16","66.38","66.52","65.60","5.87M","-0.33%"
"May 27, 2021","66.38","65.88","66.74","65.46","4.65M","0.61%"
"May 26, 2021","65.98","66.00","66.12","65.68","5.71M","-0.03%"
"May 25, 2021","66.00","63.82","66.00","63.64","11.52M","4.10%"
"May 24, 2021","63.40","62.96","63.50","62.58","2.72M","0.25%"
